ID,release_type,Sex,SVL,Date,Time,hours,Temp,Rainfall,Humidity,Cloud cover,Fix,Distance,Direction,Ht_ground,Tree spp,Tree_ht,Microhabitat,Orientation,Activity,Disturbed
16/G38,SR,F,84,29/01/18,2341,31.23,21.2,0,83,0,1,4.1,11,2.9,kanuka,3.3,foliage,up,moving,No
16/G38,SR,F,84,30/01/18,1325,13.73,24.3,0,75,7,2,0.6,163,NA,kanuka,3.3,NA,NA,NA,No
16/G38,SR,F,84,30/01/18,2325,10.00,21.2,0,88,6,3,3.4,60,2.7,kanuka,3.7,branchlettes,horizontal,not moving,No
16/G38,SR,F,84,2/02/18,1234,61.15,21.3,0,66,6.5,4,4.7,49,NA,kanuka,3.4,?foliage,NA,NA,No
16/G38,SR,F,84,2/02/18,2230,9.93,15.1,0,71,7,5,1.2,338,1.12,kanuka,3.4,2 branch,up,moving,maybe
16/G38,SR,F,84,3/02/18,1425,15.92,17.4,0,61,7.5,6,1.4,342,NA,kanuka,3.6,NA,NA,NA,No
16/G38,SR,F,84,3/02/18,2350,9.42,14,0,62,1,7,2.65,160,NA,kanuka,3.55,?foliage,NA,NA,No
16/G38,SR,F,84,6/02/18,1233,60.72,22.6,0,53,0.5,8,9.3,210,2.98,kanuka,3.82,2 branch,up,basking,No
16/G38,SR,F,84,8/02/18,2320,58.78,17.6,0,62,0,9,2.95,47,NA,kanuka,3.5,?foliage,NA,NA,No
16/G38,SR,F,84,12/02/18,2346,96.43,21.1,0,90,7,10,2.6,318,NA,kanuka,3.9,?foliage,NA,NA,No
16/G38,SR,F,84,13/02/18,2254,23.13,20.8,0,76,5,11,2.5,18,NA,kanuka,3.67,NA,NA,NA,No
16/G38,SR,F,84,14/02/18,1559,17.08,23.4,0,70,8,12,2.63,215,NA,kanuka,3.61,NA,NA,NA,No
16/G38,SR,F,84,15/02/18,2322,31.38,19.9,0,87,1,13,1.15,280,1.6,kanuka,3.61,2 branch,up,not moving,No
16/G38,SR,F,84,17/02/18,1559,40.62,21.3,1,94,3,14,0.72,80,NA,kanuka,3.61,NA,NA,NA,No
16/G38,SR,F,84,18/02/18,2258,30.98,20.7,0,81,0,15,0,NA,NA,kanuka,3.61,NA,NA,NA,No
16/G38,SR,F,84,19/02/18,1351,14.88,23.5,33.8,67,8,16,0.24,240,2.1,kanuka,3.61,2 branch,NA,NA,No
16/G38,SR,F,84,21/02/18,1512,49.35,19.5,14.4,64,1.5,17,1.36,129,2.14,kanuka,3.61,2 branch,down,not moving,No
16/G38,SR,F,84,22/02/18,1256,21.73,17.2,0,69,7.5,18,0.49,24,NA,kanuka,3.61,NA,NA,NA,No
16/G38,SR,F,84,23/02/18,1550,26.90,20.6,0,67,6,19,0,NA,NA,kanuka,3.61,NA,NA,NA,No
16/G38,SR,F,84,24/02/18,42,8.87,19.5,0,73,5,20,0,NA,NA,kanuka,3.61,NA,NA,NA,No
16/G38,SR,F,84,24/02/18,1250,12.13,22,0,69,1,21,1.7,230,2.9,UNIDX,NA,2 branch,up,basking,No
16/G38,SR,F,84,28/02/18,1200,95.17,21.2,0.2,81,8,22,0.8,90,2.7,kanuka,3.8,NA,NA,NA,No
16/G38,SR,F,84,2/03/18,1515,51.25,23.2,0,70,8,23,,,1.64,kanuka,4.2,2 branch,up,not moving,No
16/G38,SR,F,84,2/03/18,2350,8.58,17.5,0,82,7.5,24,0.82,83,2.73,kanuka,4.2,3 branch,up,not moving,Yes
16/G38,SR,F,84,4/03/18,1443,38.88,25.1,0,61,1,25,3,211,NA,kanuka,3.71,NA,NA,NA,No
16/G38,SR,F,84,4/03/18,14,9.52,19.7,0,75,5,26,1.33,330,3.16,kanuka,3.86,3 branch,up,moving,No
